COMPANY,GROWTH,DATE,VALUATION,FUNDING,LOCATION,MARKET
Roll Call,-,1955,180000000,#N/A,"Washington, United States",news
GTPL Hathway,36%,2006,178000000,#N/A,"Amdabad, India",Technology products
Yubo,6%,2016,176000000,56100000,"Paris, France",Social network
Longzhu TV,-,2013,175000000,43800000,"Shanghai, China",Multi-platform
Scoreboard,-,1993,175000000,29200000,"Herndon, United States",Technology products
Bleacher Report,3%,2007,175000000,18500000,"San Francisco, United States",sports
Everest Broadband Networks,0%,1999,173000000,33000000,"Fort Lee, United States",Technology products
Everest Broadband (Acquired),-,1894,173000000,#N/A,"Kansas City, United States",Technology products
Cumulus Networks,-12%,2010,172000000,134000000,"Mountain View, United States",Technology products
iBiquity Digital Corporation,-,1991,172000000,174000000,"Columbia, United States",radio
Plimsoll Productions,10%,2013,172000000,#N/A,"Bristol, United Kingdom",Film/TV production
ITmedia KK,1%,1999,172000000,#N/A,"Minato, Japan",news
Replay Technologies,-50%,2011,170000000,24700000,"Newark, United States",sports
Sensis,-15%,1991,168000000,#N/A,"Melbourne, Australia",Advertising/marketing
Reworld,25%,2018,168000000,42000000,"Beijing, China",Gaming
Informio,-,2000,168000000,42000000,"Lexington, United States",Technology products
OneMediaPlace,-,1997,168000000,42000000,"San Francisco, United States",marketplace
Boosey & Hawkes,5%,1930,166000000,#N/A,"London, United Kingdom",music
Microtune,0%,1996,166000000,2100000,"Plano, United States",Technology products
Media Do,-,1999,166000000,#N/A,"Tokyo, Japan",Literature
Philo,23%,2011,166000000,106000000,"Cambridge, United States",Broadcast/streaming/video
BASH Gaming,-,2010,165000000,1200000,"Foster City, United States",gaming
Ofoto,0%,1999,164000000,57000000,"Emeryville, United States",photos
Color Labs Inc.,-,2010,164000000,41000000,"Burlingame, United States",Technology products
Maktoob,0%,2000,164000000,5300000,"Amman, Jordan",Social network
Grasshopper,-,2003,162000000,#N/A,"Needham, United States",video conferencing
Roularta,6%,1954,161000000,#N/A,"Roeselare, Belgium",printing
StarLeaf,-71%,2008,160000000,40000000,"Watford, United Kingdom",video conferencing
Conviva,5%,2006,160000000,100000000,"Foster City, United States",Data analytics
AllGear Digital ( Formerly Lola Digital Media ),-,2018,160000000,40000000,"Moab, United States",news
Glorify,64%,2020,160000000,82300000,"London, United Kingdom",education
Hallow,76%,2018,160000000,55000000,"San Francisco, United States",education
Canela Media,129%,2019,160000000,57400000,"New York City, United States",Broadcast/streaming/video
Wave Sports,26%,2017,160000000,59000000,"Santa Monica, United States",Sports
Literati,3%,2017,160000000,92000000,"Austin, United States",Literature
Otter.ai,39%,2016,160000000,73000000,"Los Altos, United States",VR/AR/AI
Omescape,-15%,2012,160000000,40000000,Canada,Gaming
Digital Media Group,-,1999,160000000,#N/A,"Sydney, Australia",Advertising/marketing
Current Media,1%,2016,160000000,40000000,"Gibraltar, Gibraltar",blockchain
Great Big Story,-12%,2015,160000000,#N/A,"New York City, United States",Film/TV production
Huajuan Mall,-,,160000000,40000000,"Beijing, China",video conferencing
Migo,12%,2010,160000000,40000000,"Jakarta, Indonesia",Technology products
Zango,-3%,1999,160000000,40000000,"Bellevue, United States",Gaming
Nissi Media,-,1998,160000000,40000000,"Torrance, United States",Telecommunications
Daily,74%,2016,160000000,59700000,"San Francisco, United States",Applications and APIs
ThinkLogical,-5%,2003,160000000,#N/A,"Milford, United States",Technology products
Games Done Quick,17%,2010,160000000,52700000,"Minneapolis, United States",Gaming
TV Time,-12%,2014,160000000,65000000,"Santa Monica, United States",Social network
The Players' Tribune,11%,2014,160000000,58000000,"New York City, United States",sports
Jadu,111%,2021,144000000,43000000,United States,VR/AR/AI
MightyWords,-,2000,144000000,36000000,"Santa Clara, United States",Literature
Nice,0%,2013,144000000,64000000,"Beijing, China",Social network
CookpadTV,-,2018,144000000,35900000,"Tokyo, Japan",Broadcast/streaming/video
Chips&Media,0%,2003,144000000,#N/A,"Seoul, South Korea",Technology products
Mediaspectrum,-12%,2001,144000000,35800000,"Miami Beach, United States",Advertising/marketing
IAM com,-,,144000000,35700000,"Los Angeles, United States",Technology products
Total Sports,-,1997,144000000,35500000,"Raleigh, United States",sports
Class Editori Spa,0%,1986,141000000,#N/A,"Milan, Italy",news
Eastern Standard Times,-,2020,140000000,35000000,"West Hollywood, United States",Film/TV production
Fractal,-,2015,140000000,35000000,"San Francisco, United States",Gaming
RiversideFM,144%,2019,140000000,47000000,"Tel Aviv-Yafo, Israel",Consumer app services
Airmeet,2%,2019,140000000,50000000,"Lewes, United States",video conferencing
GameOn Technology,79%,2014,140000000,45500000,"San Francisco, United States",Sports
Soona,31%,2018,140000000,49900000,"Denver, United States",photos
Heidi Coast Advertising,7%,2004,140000000,38100000,"Shanghai, China",Advertising/marketing
17 Media,-,2015,140000000,108000000,"台北市, Taiwan",Broadcast/streaming/video
Transit Wireless,-3%,2005,140000000,35000000,"New York City, United States",Technology products
Backyard Broadcasting Holdings,-,2002,140000000,20000000,"Baltimore, United States",radio
IMVU,-4%,2004,140000000,63000000,"Redwood City, United States",Social network
Pixel Magic Imaging,-,1993,140000000,30500000,"San Marcos, United States",photos
Uproar,-,1996,140000000,88000000,"New York City, United States",Technology products
New Moon,-,1993,140000000,35000000,"Duluth, United States",news
Anchor,10%,2015,140000000,14400000,"New York City, United States",Consumer app services
